polish,english,other,type
bezdomny,homeless,,
bezdzietny,childless,,
bezgraniczny,endless/boundless II,,
bezinteresowny,selfless/unselfish,,
bezkarny,unpunished,,
bezkofeinowy,decaffeinated,,
bezkresny,endless/boundless I,,
beznadziejny,hopeless,,
bezokolicznik,infinitive,,
bezowocny,fruitless,,
bezpieczeństwo,security/safety,,
bezpieczny,safe,,
bezpośredni,direct/immediate,,
bezradny,helpless/vulnerable,,
bezrobocie,unemployment,,
bezruch,stillness/inertness,,
bezsilność,helplessness,,
bezsprzeczny,undeniable,,
bezstronny,impartial,,
bezszelestny,silent,,
bezwzględny,ruthless,,
bezładny,disorderly/chaotic,,
biedzić się nad czymś,to take a lot of trouble over something,,
bieganie,running,,
biegły,proficient/adept,,
biel,whiteness,,
bielizna,underwear,,
biernik (kogo? co?),accusative case,,
bierny,passive,,
bierz (brać),Take! (repeated),,
bierzesz (brać),You are taking,,
bieżący,current/running/on-going,,
bijatyka,brawl/fight,,
biodro,hip,,
biorę (brać),I am taking,,
biskup,bishop,,
bitwa,battle,,
biurowiec,office block,,
biustonosz,bra,,
biżuteria,jewellery,,
blacha,sheet metal,,
blat,counter-top or work surface,,
blednąć,to turn pale (repeated),,
bliskość,closeness/nearness,,
blizna,scar I,,
bliźniaczka,twin (female),,
bliźniak,twin (male),,
blokada,blockage,,
boazeria,panelling,,
bochenek,loaf,,
boczny,side/subsidiary,,
bodaj,probably/at least/if only,,
bodziesz (bóść),You are butting,,
bodę (bóść),I am butting,,
bogactwo,wealth,,
bogini,goddess,,
bohater,hero/protagonist,,
bojaźliwy,timid,,
bok,side,,
boleć,to ache/hurt,,
boleśnie,painfully,,
bombka,glass ball decoration,,
bon,token/voucher,,
bożek,god/idol,,
brak,a lack,,
brakować,to lack,,
brakujący,missing I,,
bramka,goal/gate,,
bramkarz,goalkeeper,,
bransoleta,bracelet,,
branża,branch/trade/business,,
bratanek,nephew,,
bratanica,niece,,
bratowa,sister-in-law,,
brnąć,to wade/trudge (repeated),,
bronić,to defend (repeated),,
broń,weapon,,
brudzić,to dirty (repeated),,
brukowiec,tabloid,,
bryła,lump/clod,,
brzeg,edge/brim,,
brzmienie,sound/tone,,
brzmieć,to sound (repeated),,
brzmij (brzmieć),Sound! (repeated),,
brzmisz (brzmieć),You sound,,
brzmię (brzmieć),I sound,,
brzoza,birch (tree),,
brzęczeć,to clink/chink (repeated),,
brzęk,clink/clank,,
bród,ford (of a river),,
budować,to build (repeated),,
bujny,luxuriant,,
bunt,rebellion/mutiny,,
buntownik,rebel/mutineer,,
burda,brawl,,
burdel,brothel,,
burknąć,to growl,,
burmistrz,mayor,,
burz (burzyć),Demolish/destroy! (repeated),,
burzliwy,stormy,,
burzysz (burzyć),You are demolishing/destroying,,
burzyć,to demolish/destroy (repeated),,
burzę (burzyć),I am demolishing/destroying,,
bydło,cattle,,
bystry,rapid/swift/sharp,,
byt,survival,,
bywać,to be (frequentative),,
były,ex/former,,
bzdura,nonsense/rubbish,,
bzik,craze,,
bójka,fight,,
bóść,to butt (repeated),,
błagać,to beg (repeated),,
błahy,trivial,,
błotnisty,muddy,,
błysk,flash/twinkle,,
błyskawica,lightning,,
błyskać,to flash (repeated),,
błysnąć,to flash (once),,
błyszczeć,to sparkle/shine,,
błyszczysz (błyszczeć),You are sparkling/shining,,
błyszczę (błyszczeć),I am sparkling/shining,,
błąd,mistake/error,,
błądzić,to wander (repeated),,
błękitny,light blue,,
capnąć,to grab/snatch/nab,,
całkowicie,completely/totally,,
całostronicowy,whole-page or full-page,,
cech,guild,,
cecha,feature/trait/property/attribute,,
cegła,brick,,
celibat,celibacy,,
celować,to aim (repeated),,
celownik (komu? czemu?),dative case,,
ceniony,respected,,
cenić,to value/appreciate,,
cenzurować,to censor (repeated),,
cera,complexion,,
cesarz,emperor,,
cham,lout,,
charytatywny,charitable,,
chata,hut/cabin/cottage,,
chciwy,greedy II,,
chichot,giggle/chuckle,,
chirurg,surgeon,,
chmiel,hop,,
chmurny,overcast/cloudy,,
chociaż,(even) though,,
chodnik,pavement,,
chodzenie,walking,,
choroba,disease,,
choć,(even) though,,
chropowaty,rough/harsh,,
chrzest,baptism/christening,,
chrząkać,to clear one's throat (repeated),,
chrząknąć,to clear one's throat (once),,
chrzęścić,to crunch (repeated),,
chuderlawy,scraggy,,
chudnąć,to loose weight (repeated),,
chusta,headscarf or shawl,,
chwalić się,to boast (repeated),,
chwast,weed,,
chwiać się,to wobble/waver,,
chwiejny,shaky/unstable/unsteady,,
chwilowo,momentarily/temporarily,,
chwilowy,temporary,,
chwycić,to grasp/grab (once),,
chwytać,to grasp/grab (repeated),,
chybiać,"to miss (as in, not hit) (repeated)",,
chybić,"to miss (as in, not hit) (once)",,
chór,choir,,
chętny,eager I,,
chęć,desire,,
chłodnia,refrigerator room,,
chłodzić,to cool (repeated),,
chłopięcy,boyish,,
chłód,chill,,
ciasny,tight/cramped,,
cichnąć,to quieten down (repeated),,
ciekawostka,interesting fact,,
ciekawość,curiosity/interest,,
ciekawski,inquisitive/nosy,,
cienki,thin,,
cierniowy,thorny/prickly,,
cierpienie,suffering,,
cierpieć,to suffer I,,
cierpki,tart/sour/pungent/acrid,,
cierń,thorn/prickle,,
cios,"blow (as in, hit)",,
cisza,silence,,
ciułać,to collect (money) laboriously (repeated),,
ciągle,continuously,,
ciąża,pregnancy,,
ciężar,weight,,
cięższy,heavier,,
ciśnienie,pressure,,
cofać,to reverse (repeated),,
cofniesz (cofnąć),You will reverse,,
cofnąć,to reverse (once),,
cofnę (cofnąć),I will reverse,,
cuchnąć,to stink,,
cud,miracle/marvel/wonder,,
cudzoziemiec,foreigner,,
cudzy,somebody else's,,
cumować,to moor (repeated),,
cyfrowy,digital,,
cygan,gypsy,,
cyjanek,cyanide,,
cykać,to tick (repeated),,
cyknąć,to tick (once),,
cyna,tin,,
cyniczny,cynical,,
cypel,cape/headland,,
cytat,citation/quotation,,
czaisz się (czaić się),You are lurking,,
czaić się,to lurk I (repeated),,
czaję się (czaić się),I am lurking,,
czar,charm,,
czarnoksiężnik,sorcerer/warlock,,
czarodziej,wizard/sorcerer,,
czasami,sometimes,,
czasownik,verb,,
czaszka,skull,,
czcisz (czcić),You are honouring,,
czcić,to honour (repeated),,
czczę (czcić),I am honouring,,
czekanie,waiting,,
czepiać się,to pick on,,
czerpać,to draw/derive,,
czerwiec,June,,
czerwonawy,reddish/ruddy,,
czerń,black,,
czesać,to comb (repeated),,
czesne,tuition fee,,
czeszesz (czesać),You are combing,,
czeszę (czesać),I am combing,,
czołgać się,to crawl,,
czoło,forehead,,
czterysta,four hundred,,
czuwać nad kimś/czymś,to watch over somebody/something,,
czułość,tenderness/affection,,
czyhać,to lurk II,,
czyn,act/deed/action,,
czynienie,making/dealing,,
czynić,to do/make something significant (repeated),,
czynnik,factor/consideration,,
czynność,action/activity,,
czynsz,rent,,
czyszczę (czyścić),I am cleaning/brushing,,
czytelnik,reader,,
czyścisz (czyścić),You are cleaning/brushing,,
czyścić,to clean/brush (repeated),,
cząstka,particle/fraction,,
częstować,to offer (repeated),,
częsty,common/frequent,,
częściowy,partial,,
część,part/piece,,
członek,member (of a group),,
cętka,spot,,
cło,customs duty,,
dal,distance II,,
dalece,far,,
dalszy,further,,
dane,data,,
dar,gift/present,,
daremny,futile,,
darmowy,free of charge I,,
darować,to gift (repeated),,
darzyć kogoś czymś,to bestow something on someone,,
dawka,dose,,
dawkowanie,dosage,,
dbać,to care (for) (repeated),,
dech,breath,,
definicja,definition,,
definiować,to define (repeated),,
dekarz,roofer,,
dekolt,neckline/cleavage,,
demonstracyjnie,demonstratively/ostentatiously,,
denat,the deceased II,,
denerwujący,annoying/irritating,,
depcz (deptać),Tread/trample! (repeated),,
depczesz (deptać),You are treading/trampling,,
depczę (deptać),I am treading/trampling,,
deptać,to tread/trample (repeated),,
deska,plank,,
deskorolka,skateboard,,
detronizować,to dethrone (repeated),,
dewiza,motto,,
dezaprobata,disapproval,,
dezerterować,to desert (repeated),,
diament,diamond,,
dietetyczny,dietary,,
dlatego,so/therefore,,
dno,bottom of water,,
dobierać,to select/match (repeated),,
dobrać,to select/match (once),,
dobrowolny,voluntary,,
dobytek,belongings,,
dobór,selection/choice,,
doceniać,to appreciate (repeated),,
docenisz (docenić),You will appreciate,,
docenić,to appreciate (once),,
docenię (docenić),I will appreciate,,
dochodzenie,investigation II,,
dochodzić,to reach/arrive (repeated),,
dochód,income/profit,,
docierać do czegoś,to reach something (repeated),,
dodadzą (dodać),They will add,,
dodaj (dodać),Add! (once),,
dodajesz (dodawać),You are adding,,
dodaję (dodawać),I am adding,,
dodam (dodać),I will add,,
dodatkowo,additionally,,
dodawaj (dodawać),Add! (repeated),,
dodawanie,addition,,
dodawać,to add (repeated),,
dodać,to add (once),,
dogadzać,to pamper/indulge (repeated),,
doganiać,to catch up with (repeated),,
dogodny,convenient/suitable,,
dogodzić,to pamper/indulge (once),,
dogonić,to catch up with (once),,
dojrzałość,ripeness/maturity,,
dojść,to reach/arrive (once),,
dokonanie,accomplishment,,
dokuczać,to tease (repeated),,
dokuczliwy,troublesome/biting/gnawing/nagging,,
dokuczyć,to tease (once),,
dokładka,second helping,,
dokładność,precision/accuracy,,
dolegać,to trouble/bother,,
dolegliwość,ailment,,
dolny,lower,,
domagać się czegoś,to demand something,,
domiar,surtax,,
domniemany,alleged/supposed,,
domyślać się,to guess/suspect (repeated),,
domyślić się,to guess/suspect (once),,
doniczka,flowerpot,,
donikąd,to nowhere,,
donośny,loud/resonant,,
dopasować,to fit/match (once),,
dopasowywać,to fit/match (repeated),,
dopełniacz (kogo? czego?),genitive case,,
dopiero,barely/scarcely,,
dopingować,to support/boost (repeated),,
dopóki,until,,
doradca,advisor,,
doradzać komuś,to advise somebody (repeated),,
doradzić komuś,to advise somebody (once),,
dorastać,to grow up (repeated),,
dorosnąć,to grow up (once),,
dorosłość,adulthood,,
dorosły,grown-up,,
dorożka,cab,,
dorożkarz,cab-driver,,
dosięgać,to reach/catch up (repeated),,
dosięgnąć,to reach/catch up (once),,
doskonale,perfectly,,
doskonały,perfect,,
dostajesz (dostawać),You are get getting/receiving,,
dostaję (dostawać),I am getting/receiving,,
dostaniesz (dostać),You will get/receive,,
dostanę (dostać),I will get/receive,,
dostarczać,to deliver (repeated),,
dostarczyć,to deliver (once),,
dostateczny,sufficient/adequate,,
dostatek,abundance/affluence,,
dostatni,affluent/ample,,
dostawaj (dostawać),Get/receive! (repeated),,
dostawać,to get/receive (repeated),,
dostać,to get/receive (once),,
dostań (dostać),Get/receive! (once),,
dostojny,dignified,,
dostrzec,to spot/notice (once),,
dostrzegalny,discernible/perceptible,,
dostrzegać,to spot/notice (repeated),,
dostrzegę (dostrzec),I will spot/notice,,
dostrzeżesz (dostrzec),You will spot/notice,,
dostęp,access to (something),,
dostępny,accessible,,
dosłownie,literally,,
dotacja,subsidy/grant,,
dotkliwy,severe/bitter/biting,,
dotkniesz (dotknąć),You will touch,,
dotknij (dotknąć),Touch! (once),,
dotknąć,to touch (once),,
dotknę (dotknąć),I will touch,,
dotleniać się,to get some fresh air (repeated),,
dotlenić się,to get some fresh air (once),,
dotrzesz (dotrzeć),You will reach something,,
dotrzeć do czegoś,to reach something (once),,
dotrę (dotrzeć),I will reach something,,
dotychczas,until now,,
dotyczyć,to concern I,,
dotyk,touch,,
dotykaj (dotykać),Touch! (repeated),,
dotykam (dotykać),I am touching,,
dotykasz (dotykać),You are touching,,
dotykać,to touch (repeated),,
dotąd,up to now,,
dowcip,joke,,
dowcipny,witty,,
dowiadywać się,to learn about (repeated),,
dowiedzieć się,to learn about (once),,
dowolny,free/any/arbitrary,,
dowód,evidence,,
dowódca,commander,,
doznanie,experience/sensation,,
dozorca,caretaker/janitor,,
dołek,hole/pit/ditch/depression,,
dołączać,to join II (repeated),,
dołączyć,to join II (once),,
doświadczenie,experience,,
dożywać,to live to see (repeated),,
dożyć,to live to see (once),,
drabina,ladder,,
drażliwy,thorny/sensitive/touchy,,
drażnić się z kimś,to wind up somebody,,
dreptać,to toddle (repeated),,
dreszcze,shivers,,
drewniany,wooden,,
drgawki,convulsions,,
drgać,to twitch/vibrate (repeated),,
drgnąć,to twitch/vibrate (once),,
drobiazg,trifle I,,
drobnostka,trifle II,,
drobny,small/frail/fine,,
drogowskaz,signpost,,
drozd,thrush (bird),,
drożeć,to become more expensive (repeated),,
druciany,wire,,
druhna,bridesmaid,,
drukować,to print (repeated),,
druzgotać,to crush/smash/shatter (repeated),,
drużba,best man,,
drużyna,team/squad,,
drwić,to mock/scoff/jeer I (repeated),,
drzazga,splinter,,
dróżka,path II,,
drąg,pole/club,,
drętwieć,to go numb (repeated),,
drżeć,to shiver (repeated),,
drżysz (drżeć),You are shivering,,
drżę (drżeć),I am shivering,,
dudnić,to rumble (repeated),,
dumać,to ponder/muse,,
dumny,proud,,
dureń,moron/idiot/fool,,
dusić,to strangle (repeated),,
dusza,soul,,
duszny,stuffy/stifling,,
dwa miliony,two million,,
dwa tysiące,two thousand,,
dwaj książęta,two princes,,
dwieście,two hundred,,
dworek,small manor house,,
dyktando,dictation,,
dyktatura,dictatorship,,
dym,smoke,,
dyskutować,to discuss (repeated),,
dyspozycyjność,availability,,
dyszeć,to wheeze/pant/splutter,,
dyżur,duty hours,,
dzbanek,jug,,
dziać się,to happen,,
dział,division/department,,
działacz,activist,,
działalność,activity,,
działanie,action,,
działać,to work/function,,
działka,building plot,,
działo,cannon,,
dziecinny,children's,,
dzieciństwo,childhood,,
dziedziczenie,inheritance,,
dziedziczyć,to inherit (repeated),,
dziedzina,branch/discipline/area,,
dziedziniec,courtyard,,
dziel się (dzielić się),Share/divide! (repeated),,
dzielisz się (dzielić się),You are sharing/dividing,,
dzielić się,to share/divide (repeated),,
dzielnica,district,,
dzielę się (dzielić się),I am sharing/dividing,,
dziewczęcy,girlish,,
dziewica,virgin,,
dziewucha,wench/girl,,
dzieło,work/composition,,
dzisiejszy,today's,,
dziurawy,holey/leaky,,
dziw się (dziwić się),Be surprised! (repeated),,
dziwactwo,quirkiness/eccentricity,,
dziwisz się (dziwić się),You are surprised,,
dziwić się,to be surprised (repeated),,
dziwię się (dziwić się),I am surprised,,
dziwka,slut,,
dziób,bill/beak,,
dół,bottom/pit,,
dąb,oak tree,,
dąć,to blow (repeated),,
dłoń,palm/hand,,
dług,debt,,
długoterminowy,long-term,,
długotrwały,long-lasting,,
długość,length,,
dłużny,indebted,,
dźgać,to jab (repeated),,
dźgnąć,to jab (once),,
dźwig,crane,,
dźwięczny,resonant,,
dżdżysty,rainy,,
ekipa,team/crew,,
ekran,screen,,
ekscytujący,exciting,,
eksponat,exhibit,,
elektrowstrząs,electroshock,,
emerytura,pension,,
energooszczędny,energy-saving,,
estetyka,aesthetics,,
etap,lap/leg/stage,,
etat,job position,,
ewentualnie,alternatively,,
fabuła,plot/story,,
fachowiec,expert/specialist/professional,,
fachowy,professional II,,
faktura,invoice,,
fala,wave,,
farba,paint/dye/ink,,
farsz,stuffing/filling,,
fartuch,apron,,
fałszywie,falsely/insincerely,,
febra,fever,,
felieton,column,,
ferie,holiday/break,,
filia,branch/department/agency,,
filiżanka,cup,,
filozofia,philosophy,,
fingować,to fix/rig (repeated),,
firana,net curtain,,
flet,flute,,
forsowny,strenuous,,
framuga,(door or window) frame,,
frunąć,to fly (as an animal) (repeated),,
fundusz,fund,,
furgonetka,van,,
futerał,case,,
futro,fur coat,,
gabinet,small or private office,,
gad,reptile,,
gadanie,chatter,,
galareta,jelly,,
garbić się,to slouch/stoop (repeated),,
garderoba,cloakroom/wardrobe,,
garnek,(cooking) pot,,
garnitur,suit,,
garsoniera,bedsit,,
garstka,handful II,,
garść,handful I,,
gasisz (gasić),You are extinguishing,,
gasić,"to put out, to extinguish (repeated)",,
gasnąć,to go out (repeated),,
gasnę (gasnąć),I am going out,,
gaszę (gasić),I am extinguishing,,
gatunek,kind/sort/variety/species,,
gawęda,tale,,
gawędzić,to chat (repeated),,
gałąź,branch,,
gaś (gasić),Extinguish! (repeated),,
gaśniesz (gasnąć),You are going out,,
gdyż,because,,
geneza,genesis/origin,,
gest,gesture,,
giełda,exchange (e.g. stock or labour),,
ginąć,to be killed (repeated),,
giąć,to bend (repeated),,
gliniany,clay,,
gmina,commune/community,,
gminny,communal,,
gnat,bone,,
gnać,to rush (repeated),,
gniazdo,nest,,
gniesz (giąć),You are bending,,
gniew,anger,,
gniewać się,to be angry (repeated),,
gnij (giąć),Bend! (repeated),,
gnę (giąć),I am bending,,
gnębić,to oppress,,
godność,dignity,,
godny,worthy/deserving,,
godziwy,fair/honourable,,
godło,emblem,,
goić,to heal (repeated),,
gonisz (gonić),You are chasing,,
gonić,to chase,,
gonię (gonić),I am chasing,,
gorliwy,ardent/fervent/eager/zealous,,
gorączka,fever,,
gorętszy,hotter,,
gospoda,inn,,
gospodarczy,economic,,
gospodarka,economy,,
gospodarstwo,household,,
gospodarz,host,,
gotówka,cash,,
gościnny,hospitable,,
gość,guest,,
grajek,musician,,
gramolić się,to clamber,,
granatowy,navy blue,,
granica,border I,,
grobowiec,tomb III,,
grom,thunderbolt/thunderclap,,
gromada,bunch/group,,
gromadzić,to amass/gather (repeated),,
grono,bunch/circle,,
grozisz (grozić),You are threatening,,
grozić,to threaten (repeated),,
groźba,threat/menace II,,
groźny,threatening/dangerous,,
grożę (grozić),I am threatening,,
gruchać,to coo,,
gruchot,knackered old car,,
gruda,frozen ground,,
grudzień,December,,
grunt,ground/soil/base/basis,,
gruz,rubble/debris,,
grzbiet,back/spine,,
grzebać,to bury II (repeated),,
grzech,sin,,
grzechotnik,rattle snake,,
grzecznościowy,polite II,,
grzejnik,heater/radiator,,
grzmocić,to whack (repeated),,
grzmot,thunder,,
grzmotnąć,to whack (once),,
grzywka,fringe (of hair),,
grzęzawisko,marsh/swamp/bog II,,
grób,grave/tomb I,,
gust,taste,,
guwernantka,governess,,
guz,lump,,
gwałcić,to rape/violate (repeated),,
gwałtownie,fiercely/rapidly/sharply/suddenly,,
gwiaździsty,starry,,
gwóźdź,nail,,
góra,top/mountain,,
górnik,miner,,
górnolotny,grandiloquent,,
górny,upper,,
gąbka,sponge,,
gęba,unpleasant face/mouth,,
gęsty,thick/dense,,
głaskać,to stroke (repeated),,
głaszczesz (głaskać),You are stroking,,
głaszczę (głaskać),I am stroking,,
głaz,boulder,,
głośnik,(loud)speaker,,
głuchy,deaf,,
głąb,the depths,,
głębokość,depth,,
hak,hook,,
handel,trade/retail,,
harcerstwo,scouting,,
harcerz,scout,,
hasać,to gambol (repeated),,
hazard,gambling,,
hałasować,to make noise,,
hejnał,bugle-call,,
hipoteza,hypothesis,,
hodować,to grow/breed/raise (repeated),,
hojny,generous,,
homar,lobster,,
hrabia,count,,
huk,boom/crash,,
hurtownia,wholesaler,,
huta,steelworks/ironworks,,
iloraz,quotient,,
imadło,vice,,
imbir,ginger,,
imiesłów,participle,,
imitować,to imitate I,,
inaczej,otherwise/differently,,
indziej,else,,
ingerencja,interference,,
ingerować,to interfere,,
inicjować,to initialize (repeated),,
instruować,to instruct (repeated),,
intruz,intruder,,
intymny,intimate,,
iskierka,small spark,,
iskra,spark,,
istnienie,existence,,
istnieć,to exist,,
istota,creature,,
istotny,significant,,
izolować,to isolate (repeated),,
iść piechotą,to go on foot,,
jad,venom,,
jadalny,edible,,
jadowity,venomous,,
jagnię,lamb,,
jak przyjdzie co do czego,when it comes down to it,,
jakby,as if/though,,
jama,pit/cave/hole/cavity,,
jar,canyon/ravine,,
jaskinia,cave,,
jaskrawy,bright/gaudy/garish,,
jatka,massacre,,
jawa,reality II,,
jazda,a drive/ride I (e.g. car/bike),,
jałowy,barren/sterile,,
jednakowy,equal/equivalent,,
jednocześnie,at the same time,,
jednogłośny,unanimous I,,
jednolity,uniform/homogenous I,,
jednomyślny,unanimous II,,
jednorazowy,single/disposable,,
jednorodny,uniform/homogenous II,,
jednostka,individual,,
jedwabny,silk,,
jedynaczka,only (girl) child,,
jedynak,only (boy) child,,
jedynie,only,,
jemioła,mistletoe,,
jeniec,captive,,
jesienny,autumnal,,
jezdnia,road/roadway,,
jezioro,lake,,
jeździec,rider,,
jeździsz (jeździć),You are going (by vehicle),,
jeździć,to go (by vehicle),,
jeżdżę (jeździć),I am going (by vehicle),,
jeżyć,to bristle (repeated),,
jubiler,jeweller,,
jąkać się,to stutter,,
jęczeć,to moan/groan I (repeated),,
jęczmień,barley,,
jęknąć,to moan/groan I (once),,
kadzidełko,incense stick,,
kafel,tile,,
kajdanki,handcuffs,,
kalectwo,disability,,
kaleczyć się czymś,to cut oneself with something (repeated),,
kaloryfer,radiator,,
kamienieć,to turn to stone (repeated),,
kamizelka,vest,,
kamrat,companion/comrade/friend,,
kamyk,pebble,,
kancelaria,administrative office,,
kapać,to drip/trickle (repeated),,
kaplica,chapel,,
kapnąć,to drip/trickle (once),,
kaprys,a whim,,
karaluch,cockroach,,
karać,to punish (repeated),,
kark,nape of the neck,,
karoseria,car body or bodywork,,
kartka,sheet of paper,,
karzesz (karać),You are punishing,,
karzeł,dwarf,,
karzę (karać),I am punishing,,
kasa,cash desk,,
kasjer,cashier,,
kaskada,cascade,,
kawaler,bachelor,,
kazać,to command/order I,,
kałuża,puddle,,
każesz (kazać),You are commanding,,
każę (kazać),I am commanding,,
kibic,supporter/fan,,
kibicować komuś,to cheer somebody,,
kieliszek,(a) glass,,
kiepski,poor/bad/rotten,,
kierat,treadmill/grind,,
kierownica,steering wheel or handle bars,,
kierunek,direction,,
kieszeń,pocket,,
kiełkować plan/pomysł,to hatch a plan (repeated),,
kij,stick,,
kikut,stump,,
kilkanaście,a dozen or so,,
kiwać,to nod (repeated),,
kiwnąć,to nod (once),,
klamka,handle,,
klaskać,to clap hands (repeated),,
klasnąć,to clap hands (once),,
klatka,cage,,
klawisz,piano key,,
klejnot,jewel,,
klin,wedge,,
klomb,flower-bed,,
klon,maple (tree) or clone,,
kloszard,tramp,,
kląć,to swear (repeated),,
klękać,to kneel (repeated),,
klęknąć,to kneel (once),,
klęska,disaster/defeat/catastrophe,,
kobiecość,femininity,,
