polish,english,other,type
branża,branch/trade/business,,f noun
bratanek,nephew,,m noun
bratanica,niece,,f noun
bratowa,sister-in-law,,f noun
brnąć,to wade/trudge (repeated),,verb
bronić,to defend (repeated),,verb
broń,weapon,,f noun
brudzić,to dirty (repeated),,verb
brukowiec,tabloid,Nie ma brukowca,m noun
bryła,lump/clod,,f noun
brzeg,edge/brim,Nie ma brzegu,m noun
brzmienie,sound/tone,,n noun
brzmieć,to sound (repeated),,verb
brzmij (brzmieć),Sound! (repeated),,imperative
brzmisz (brzmieć),You sound,,conjugation
brzmię (brzmieć),I sound,,conjugation
brzoza,birch (tree),,f noun
brzęczeć,to clink/chink (repeated),,verb
brzęk,clink/clank,Nie ma brzęku,m noun
bród,ford (of a river),Nie ma brodu,m noun
budować,to build (repeated),,verb
bujny,luxuriant,,adjective
bunt,rebellion/mutiny,Nie ma buntu,m noun
buntownik,rebel/mutineer,,m noun
burknąć,to growl,,verb
burmistrz,mayor,,m noun
burz (burzyć),Demolish/destroy! (repeated),,imperative
burzliwy,stormy,,adjective
burzysz (burzyć),You are demolishing/destroying,,conjugation
burzyć,to demolish/destroy (repeated),,verb
burzę (burzyć),I am demolishing/destroying,,conjugation
bydło,cattle,,n noun
bystry,rapid/swift/sharp,,adjective
byt,survival,Nie ma bytu,m noun
bywać,to be (frequentative),Bywa trochę irytuący (He can be a bit irritating),verb
były,ex/former,,adjective
bzdura,nonsense/rubbish,,f noun
bzik,craze,,m noun
bójka,fight,,f noun
bóść,to butt (repeated),,verb
błagać,to beg (repeated),,verb
błahy,trivial,,adjective
błotnisty,muddy,,adjective
błysk,flash/twinkle,Nie ma błysku,m noun
błyskawica,lightning,,f noun
błyskać,to flash (repeated),,verb
błysnąć,to flash (once),,perf verb
błyszczeć,to sparkle/shine,,verb
błyszczysz (błyszczeć),You are sparkling/shining,,conjugation
błyszczę (błyszczeć),I am sparkling/shining,,conjugation
błąd,mistake/error,Nie ma błędu (There's no mistake),m noun
błądzić,to wander (repeated),,verb
błękitny,light blue,,adjective
capnąć,to grab/snatch/nab,,verb
całkowicie,completely/totally,,adverb
całostronicowy,whole-page or full-page,,adjective
cech,guild,Nie ma cechu,m noun
cecha,feature/trait/property/attribute,Odwaga jest ważna cecha charakteru,f noun
cegła,brick,,f noun
celibat,celibacy,Nie ma celibatu,m noun
celować,to aim (repeated),,verb
celownik (komu? czemu?),dative case,,m noun
ceniony,respected,,adjective
cenić,to value/appreciate,Konsumenci cenią niższe ceny,verb
cenzurować,to censor (repeated),,verb
cera,complexion,,f noun
cesarz,emperor,,m noun
cham,lout,,m noun
charytatywny,charitable,,adjective
chata,hut/cabin/cottage,,f noun
chciwy,greedy II,,adjective
chichot,giggle/chuckle,Nie ma chichotu,m noun
chirurg,surgeon,,m noun
chmiel,hop,Nie me chmielu,m noun
chmurny,overcast/cloudy,,adjective
chociaż,(even) though,"Nie jestem wesoły, chociaż piję wino",conjunction
chodnik,pavement,,m noun
chodzenie,walking,,n noun
choroba,disease,,f noun
choć,(even) though,"Jestem smutny, choć mam wino",conjunction
chropowaty,rough/harsh,,adjective
chrzest,baptism/christening,Nie ma chrzestu,m noun
chrząkać,to clear one's throat (repeated),,verb
chrząknąć,to clear one's throat (once),,perf verb
chrzęścić,to crunch (repeated),,verb
chuderlawy,scraggy,,adjective
chudnąć,to loose weight (repeated),,verb
chusta,headscarf or shawl,,f noun
chwalić się,to boast (repeated),,verb
chwast,weed,Nie ma chwastu,m noun
chwiać się,to wobble/waver,,verb
chwilowo,momentarily/temporarily,Sklep jest chwilowo nieczynny,adverb
chwilowy,temporary,,adjective
chwycić,to grasp/grab (once),,perf verb
chwytać,to grasp/grab (repeated),,verb
chybiać,"to miss (as in, not hit) (repeated)",,verb
chybić,"to miss (as in, not hit) (once)",,perf verb
chór,choir,,m noun
chętny,eager I,,adjective
chęć,desire,,f noun
chłodnia,refrigerator room,,f noun
chłodzić,to cool (repeated),,verb
chłód,chill,Nie ma chłodu,m noun
ciasny,tight/cramped,,adjective
cichnąć,to quieten down (repeated),,verb
ciekawostka,interesting fact,,f noun
ciekawość,curiosity/interest,,f noun
ciekawski,inquisitive/nosy,,adjective
cienki,thin,,adjective
cierniowy,thorny/prickly,,adjective
cierpienie,suffering,,n noun
cierpieć,to suffer I,Cały naród cierpi (The whole nation suffers),verb
cierpki,tart/sour/pungent/acrid,,adjective
cierń,thorn/prickle,,m noun
cios,"blow (as in, hit)",Nie ma ciosu,m noun
cisza,silence,,f noun
ciułać,to collect (money) laboriously (repeated),,verb
ciągle,continuously,,adverb
ciąża,pregnancy,Mama była w czwartym miesiącu ciąży,f noun
ciężar,weight,Nie ma ciężaru,m noun
cięższy,heavier,,adjective
ciśnienie,pressure,,n noun
cofać,to reverse (repeated),,verb
cofniesz (cofnąć),You will reverse,,conjugation
cofnąć,to reverse (once),,perf verb
cofnę (cofnąć),I will reverse,,conjugation
cuchnąć,to stink,,verb
cud,miracle/marvel/wonder,Nie ma cudu,m noun
cudzoziemiec,foreigner,Jestem cudzoziemcem,m noun
cudzy,somebody else's,,adjective
cumować,to moor (repeated),,verb
cyfrowy,digital,,adjective
cygan,gypsy,,m noun
cyjanek,cyanide,Nie ma cyjanku,m noun
cykać,to tick (repeated),,verb
cyknąć,to tick (once),,perf verb
cyna,tin,,f noun
cyniczny,cynical,,adjective
cypel,cape/headland,,m noun
cytat,citation/quotation,Nie ma cytatu,m noun
czaisz się (czaić się),You are lurking,,conjugation
czaić się,to lurk I (repeated),,verb
czaję się (czaić się),I am lurking,,conjugation
czar,charm,Nie ma czaru,m noun
czarnoksiężnik,sorcerer/warlock,,m noun
czarodziej,wizard/sorcerer,,m noun
czasami,sometimes,,adverb
czasownik,verb,,m noun
czaszka,skull,,f noun
czcisz (czcić),You are honouring,,conjugation
czcić,to honour (repeated),,verb
czczę (czcić),I am honouring,,conjugation
czekanie,waiting,,n noun
czepiać się,to pick on,,verb
czerpać,to draw/derive,,verb
czerwiec,June,,m noun
czerwonawy,reddish/ruddy,,adjective
czerń,black,,f noun
czesać,to comb (repeated),,verb
czesne,tuition fee,,n noun
czeszesz (czesać),You are combing,,conjugation
czeszę (czesać),I am combing,,conjugation
czołgać się,to crawl,,verb
czoło,forehead,"Na czole, pięć czół",n noun
czterysta,four hundred,,numeral
czuwać nad kimś/czymś,to watch over somebody/something,,verb
czułość,tenderness/affection,,f noun
czyhać,to lurk II,,verb
czyn,act/deed/action,Nie ma czynu,m noun
czynienie,making/dealing,,n noun
czynić,to do/make something significant (repeated),,verb
czynnik,factor/consideration,,m noun
czynność,action/activity,,f noun
czynsz,rent,Nie ma czynszu,m noun
czyszczę (czyścić),I am cleaning/brushing,,conjugation
czytelnik,reader,Czytelniczka,m noun
czyścisz (czyścić),You are cleaning/brushing,,conjugation
czyścić,to clean/brush (repeated),,verb
cząstka,particle/fraction,,f noun
częstować,to offer (repeated),,verb
częsty,common/frequent,,adjective
częściowy,partial,,adjective
część,part/piece,,f noun
członek,member (of a group),Jestem członkiem tej grupy,m noun
cętka,spot,W cętki (spotted),f noun
cło,customs duty,,n noun
dal,distance II,,f noun
dalszy,further,,adjective
dane,data,Nie ma danych,f plural noun
dar,gift/present,Nie ma daru,m noun
daremny,futile,,adjective
darmowy,free of charge I,,adjective
darować,to gift (repeated),,verb
darzyć kogoś czymś,to bestow something on someone,,verb
dawka,dose,,f noun
dawkowanie,dosage,,n noun
dbać,to care (for) (repeated),,verb
dech,breath,Nie ma tchu,m noun
definicja,definition,,f noun
definiować,to define (repeated),,verb
dekarz,roofer,,m noun
dekolt,neckline/cleavage,Nie ma dekoltu,m noun
demonstracyjnie,demonstratively/ostentatiously,,adverb
denat,the deceased II,,m noun
denerwujący,annoying/irritating,,adjective
depcz (deptać),Tread/trample! (repeated),,imperative
depczesz (deptać),You are treading/trampling,,conjugation
depczę (deptać),I am treading/trampling,,conjugation
deptać,to tread/trample (repeated),,verb
deska,plank,,f noun
deskorolka,skateboard,,f noun
detronizować,to dethrone (repeated),,verb
dewiza,motto,,f noun
dezaprobata,disapproval,,f noun
dezerterować,to desert (repeated),,verb
diament,diamond,Nie ma diamentu,m noun
dietetyczny,dietary,,adjective
dlatego,so/therefore,Śpię dlatego że dziś nie pracuję,conjunction
dno,bottom of water,,n noun
dobierać,to select/match (repeated),,verb
dobrać,to select/match (once),,perf verb
dobrowolny,voluntary,,adjective
dobytek,belongings,Nie ma dobytku,m noun
dobór,selection/choice,Nie ma doboru,m noun
doceniać,to appreciate (repeated),,verb
docenisz (docenić),You will appreciate,,conjugation
docenić,to appreciate (once),,perf verb
docenię (docenić),I will appreciate,,conjugation
dochodzenie,investigation II,,n noun
dochodzić,to reach/arrive (repeated),,verb
dochód,income/profit,Nie ma dochodu,m noun
docierać do czegoś,to reach something (repeated),,verb
dodadzą (dodać),They will add,,conjugation
dodaj (dodać),Add! (once),,imperative
dodajesz (dodawać),You are adding,,conjugation
dodaję (dodawać),I am adding,,conjugation
dodam (dodać),I will add,,conjugation
dodatkowo,additionally,,adverb
dodawaj (dodawać),Add! (repeated),,imperative
dodawanie,addition,,n noun
dodawać,to add (repeated),,verb
dodać,to add (once),,perf verb
dogadzać,to pamper/indulge (repeated),,verb
doganiać,to catch up with (repeated),,verb
dogodny,convenient/suitable,,adjective
dogodzić,to pamper/indulge (once),,perf verb
dogonić,to catch up with (once),,perf verb
dojrzałość,ripeness/maturity,,f noun
dojść,to reach/arrive (once),,perf verb
dokonanie,accomplishment,,n noun
dokuczać,to tease (repeated),,verb
dokuczliwy,troublesome/biting/gnawing/nagging,,adjective
dokuczyć,to tease (once),,perf verb
dokładka,second helping,,f noun
dokładność,precision/accuracy,,f noun
dolegać,to trouble/bother,Co panu/pani dolega?,verb
dolegliwość,ailment,,f noun
dolny,lower,,adjective
domagać się czegoś,to demand something,,verb
domiar,surtax,Nie ma domiaru,m noun
domniemany,alleged/supposed,,adjective
domyślać się,to guess/suspect (repeated),,verb
domyślić się,to guess/suspect (once),,perf verb
doniczka,flowerpot,,f noun
donikąd,to nowhere,,adverb
donośny,loud/resonant,,adjective
dopasować,to fit/match (once),,perf verb
dopasowywać,to fit/match (repeated),,verb
dopełniacz (kogo? czego?),genitive case,,m noun
dopiero,barely/scarcely,,adverb
dopingować,to support/boost (repeated),,verb
dopóki,until,,adverb
doradca,advisor,,m noun
doradzać komuś,to advise somebody (repeated),,verb
doradzić komuś,to advise somebody (once),,perf verb
dorastać,to grow up (repeated),,verb
dorosnąć,to grow up (once),,perf verb
dorosłość,adulthood,,f noun
dorosły,grown-up,,adjective
dorożka,cab,,f noun
dorożkarz,cab-driver,,m noun
dosięgać,to reach/catch up (repeated),,verb
dosięgnąć,to reach/catch up (once),,perf verb
doskonale,perfectly,,adverb
doskonały,perfect,,adjective
dostajesz (dostawać),You are get getting/receiving,,conjugation
dostaję (dostawać),I am getting/receiving,,conjugation
dostaniesz (dostać),You will get/receive,,conjugation
dostanę (dostać),I will get/receive,,conjugation
dostarczać,to deliver (repeated),,verb
dostarczyć,to deliver (once),Czy dostarczacie lodówki? (Do you deliver fridges?),perf verb
dostateczny,sufficient/adequate,,adjective
dostatek,abundance/affluence,,m noun
dostatni,affluent/ample,,adjective
dostawaj (dostawać),Get/receive! (repeated),,imperative
dostawać,to get/receive (repeated),,verb
dostać,to get/receive (once),,perf verb
dostań (dostać),Get/receive! (once),,imperative
dostojny,dignified,,adjective
dostrzec,to spot/notice (once),,perf verb
dostrzegalny,discernible/perceptible,,adjective
dostrzegać,to spot/notice (repeated),,verb
dostrzegę (dostrzec),I will spot/notice,,conjugation
dostrzeżesz (dostrzec),You will spot/notice,,conjugation
dostęp,access to (something),,m noun
dostępny,accessible,,adjective
dosłownie,literally,,adverb
dotacja,subsidy/grant,,f noun
dotkliwy,severe/bitter/biting,Dotkliwy ból/strata/wiatr,adjective
dotkniesz (dotknąć),You will touch,,conjugation
dotknij (dotknąć),Touch! (once),,imperative
dotknąć,to touch (once),,perf verb
dotknę (dotknąć),I will touch,,conjugation
dotleniać się,to get some fresh air (repeated),,verb
dotlenić się,to get some fresh air (once),,perf verb
dotrzesz (dotrzeć),You will reach something,,conjugation
dotrzeć do czegoś,to reach something (once),,perf verb
dotrę (dotrzeć),I will reach something,,conjugation
dotychczas,until now,,adverb
dotyczyć,to concern I,To was nie dotyczy,verb
dotyk,touch,Nie ma dotyku,m noun
dotykaj (dotykać),Touch! (repeated),,imperative
dotykam (dotykać),I am touching,,conjugation
dotykasz (dotykać),You are touching,,conjugation
dotykać,to touch (repeated),,verb
dotąd,up to now,,adverb
dowcip,joke,Nie ma dowcipu,m noun
dowcipny,witty,,adjective
dowiadywać się,to learn about (repeated),,verb
dowiedzieć się,to learn about (once),,perf verb
dowolny,free/any/arbitrary,,adjective
dowód,evidence,Policja szuka dowodów,m noun
dowódca,commander,,m noun
doznanie,experience/sensation,,n noun
dozorca,caretaker/janitor,,m noun
dołek,hole/pit/ditch/depression,Nie ma dołka,m noun
dołączać,to join II (repeated),,verb
dołączyć,to join II (once),,perf verb
doświadczenie,experience,,n noun
dożywać,to live to see (repeated),,verb
dożyć,to live to see (once),,perf verb
drabina,ladder,,f noun
drażnić się z kimś,to wind up somebody,,verb
dreptać,to toddle (repeated),,verb
dreszcze,shivers,,m plural noun
drewniany,wooden,,adjective
drgawki,convulsions,,f plural noun
drobiazg,trifle I,Nie ma drobiazgu,m noun
drobnostka,trifle II,,f noun
drobny,small/frail/fine,,adjective
drozd,thrush (bird),,m noun
drożeć,to become more expensive (repeated),,verb
druciany,wire,,adjective
druhna,bridesmaid,,f noun
drukować,to print (repeated),,verb
drużba,best man,,m noun
drużyna,team/squad,,f noun
drwić,to mock/scoff/jeer I (repeated),,verb
drzazga,splinter,,f noun
dróżka,path II,,f noun
drąg,pole/club,,m noun
drętwieć,to go numb (repeated),,verb
drżeć,to shiver (repeated),,verb
drżysz (drżeć),You are shivering,,conjugation
drżę (drżeć),I am shivering,,conjugation
dumać,to ponder/muse,,verb
dumny,proud,,adjective
dureń,moron/idiot/fool,Nie ma durnia,m noun
dusić,to strangle (repeated),,verb
dusza,soul,,f noun
duszny,stuffy/stifling,,adjective
dwa miliony,two million,,numeral
dwa tysiące,two thousand,,numeral
dwaj książęta,two princes,,phrase
dwieście,two hundred,,numeral
dworek,small manor house,Nie ma dworku,m noun
dyktando,dictation,,n noun
dyktatura,dictatorship,,f noun
dym,smoke,,m noun
dyskutować,to discuss (repeated),,verb
dyspozycyjność,availability,,f noun
dyszeć,to wheeze/pant/splutter,,verb
dyżur,duty hours,Nie ma dyżuru,m noun
dzbanek,jug,Nie ma dzbanka,m noun
dziać się,to happen,,verb
dział,division/department,,m noun
działacz,activist,,m noun
działalność,activity,,f noun
działanie,action,Potrzebujemy innego działania,n noun
działać,to work/function,,verb
działka,building plot,,f noun
działo,cannon,,n noun
dziecinny,children's,,adjective
dzieciństwo,childhood,,n noun
dziedziczenie,inheritance,,n noun
dziedziczyć,to inherit (repeated),,verb
dziedzina,branch/discipline/area,Oboje otrzymali Nagrodę Nobla w dziedzinie fizyki,f noun
dziedziniec,courtyard,Nie ma dziedzińca,n noun
dziel się (dzielić się),Share/divide! (repeated),,imperative
dzielisz się (dzielić się),You are sharing/dividing,,conjugation
dzielić się,to share/divide (repeated),,verb
dzielnica,district,,f noun
dzielę się (dzielić się),I am sharing/dividing,,conjugation
dziewczęcy,girlish,,adjective
dziewica,virgin,,f noun
dzieło,work/composition,,n noun
dzisiejszy,today's,,adjective
dziurawy,holey/leaky,,adjective
dziw się (dziwić się),Be surprised! (repeated),,imperative
dziwactwo,quirkiness/eccentricity,,n noun
dziwisz się (dziwić się),You are surprised,,conjugation
dziwić się,to be surprised (repeated),,verb
dziwię się (dziwić się),I am surprised,,conjugation
dziwka,slut,,f noun
dziób,bill/beak,Nie ma dziobu,m noun
dół,bottom/pit,Nie ma dołu,m noun
dąb,oak tree,Nie ma dębu,m noun
dąć,to blow (repeated),,verb
dłoń,palm/hand,,f noun
dług,debt,Nie ma długu,m noun
długoterminowy,long-term,,adjective
długotrwały,long-lasting,,adjective
długość,length,,f noun
dłużny,indebted,,adjective
dźgać,to jab (repeated),,verb
dźgnąć,to jab (once),,perf verb
dźwig,crane,Nie ma dźwigu,m noun
dźwięczny,resonant,,adjective
dżdżysty,rainy,,adjective
ekipa,team/crew,,f noun
ekran,screen,Komórka ma duży ekran,m noun
ekscytujący,exciting,,adjective
eksponat,exhibit,Nie ma eksponatu,m noun
elektrowstrząs,electroshock,Nie ma elektrowstrząsu,m noun
emerytura,pension,Odchodzić na emeryturę (To retire),f noun
energooszczędny,energy-saving,,adjective
estetyka,aesthetics,,f noun
etap,lap/leg/stage,Nie ma etapu,m noun
etat,job position,Czy woli pracę na etacie czy na własny rachunek?,m noun
ewentualnie,alternatively,,adverb
fabuła,plot/story,,f noun
fachowiec,expert/specialist/professional,,m noun
fachowy,professional II,,adjective
faktura,invoice,,f noun
fala,wave,,f noun
farba,paint/dye/ink,,f noun
farsz,stuffing/filling,Nie ma farszu,m noun
fartuch,apron,,m noun
fałszywie,falsely/insincerely,,adverb
febra,fever,,f noun
felieton,column,Nie ma felietonu,m noun
ferie,holiday/break,,f plural noun
filia,branch/department/agency,,f noun
filiżanka,cup,,f noun
filozofia,philosophy,,f noun
fingować,to fix/rig (repeated),,verb
flet,flute,Nie ma fletu,m noun
forsowny,strenuous,,adjective
frunąć,to fly (as an animal) (repeated),,verb
fundusz,fund,Nie ma funduszu,m noun
furgonetka,van,,f noun
futerał,case,Nie ma futerału,m noun
futro,fur coat,,n noun
gabinet,small or private office,Gabinet lekarski,m noun
gad,reptile,,m noun
gadanie,chatter,,n noun
galareta,jelly,,f noun
garbić się,to slouch/stoop (repeated),,verb
garderoba,cloakroom/wardrobe,,f noun
garnek,(cooking) pot,Nie ma garnka,m noun
garnitur,suit,Nie ma garnituru,m noun
garsoniera,bedsit,,f noun
garstka,handful II,,f noun
garść,handful I,,f noun
gasisz (gasić),You are extinguishing,,conjugation
gasić,"to put out, to extinguish (repeated)",,verb
